"X" "analfabeta" "sin_primaria" "sin_drenaje" "sin_electricidad" "sin_agua_entubada" "con_hacinamiento" "con_piso_tierra" "habitantes_5000" "salarios_minimos" "CVE_MUN" "NOM_MUN" "CVE"
"1" "001 Aguascalientes" 2.59 11.48 0.49 0.31 0.77 25.25 1.42 8.73 29.9 1 "Aguascalientes" "01001"
"2" "002 Asientos" 5.54 26.02 5.72 2.14 2.05 45.27 2.59 100 59.52 2 "Asientos" "01002"
"3" "003 Calvillo" 6.19 28.88 0.79 0.87 1.8 39.79 2.42 50.76 60.08 3 "Calvillo" "01003"
"4" "004 Cosío" 4.35 21.81 2.18 2 0.29 44.69 3.26 100 54.76 4 "Cosío" "01004"
"5" "005 Jesús María" 3.76 18.21 1.26 1.17 1.43 39.16 2.59 45.17 31.15 5 "Jesús María" "01005"
"6" "006 Pabellón de Arteaga" 4.11 18.74 0.94 0.98 1.45 41.38 1.54 31.6 36.3 6 "Pabellón de Arteaga" "01006"
"7" "007 Rincón de Romos" 4.7 19.22 2.23 0.8 1.22 42.29 3.68 43.06 46.42 7 "Rincón de Romos" "01007"
"8" "008 San José de Gracia" 3.45 18.93 6.33 1.85 2.6 41.65 1.53 100 50.43 8 "San José de Gracia" "01008"
"9" "009 Tepezalá" 5.91 26.77 3.23 1.32 0.87 47.4 2.17 100 45.62 9 "Tepezalá" "01009"
"10" "010 El Llano" 5.77 25.67 6.22 3.03 1.85 45.18 2.3 71.32 48.18 10 "El Llano" "01010"
"11" "011 San Francisco de los Romo" 4.74 20.51 0.71 0.53 0.67 42.84 1.56 54.92 32.69 11 "San Francisco de los Romo" "01011"
"12" "001 Ensenada" 4.77 17.93 0.72 2.62 8.97 29.5 3.82 22.82 31.76 1 "Ensenada" "02001"
"13" "002 Mexicali" 2.31 12.2 0.36 0.53 1.38 29.02 2.19 12.86 22.35 2 "Mexicali" "02002"
"14" "003 Tecate" 2.48 15 0.81 2.5 10.64 29.04 3.28 29.39 24.57 3 "Tecate" "02003"
"15" "004 Tijuana" 2.11 11.71 0.36 0.58 2.24 28.87 3.99 3.23 18.24 4 "Tijuana" "02004"
"16" "005 Playas de Rosarito" 2.86 15.32 0.59 1.34 14.34 30.54 3.51 21.49 25.02 5 "Playas de Rosarito" "02005"
"17" "001 Comondú" 5.44 22.69 1.58 2.08 3.2 33.62 5.42 22.03 36.92 1 "Comondú" "03001"
"18" "002 Mulegé" 5.87 23.41 2.52 3.86 6.99 32.48 2.66 46.34 33.85 2 "Mulegé" "03002"
"19" "003 La Paz" 2.34 10.81 0.56 1.93 4.72 25.34 2.84 12.52 23.91 3 "La Paz" "03003"
"20" "008 Los Cabos" 2.89 13.11 0.67 3.35 10.74 37.7 9.7 9.62 17.13 8 "Los Cabos" "03008"
"21" "009 Loreto" 3.33 16.5 2.41 9.09 7.7 35.08 8.36 12.03 23.4 9 "Loreto" "03009"
"22" "001 Calkiní" 13.12 28.54 20.87 1.44 6.29 52.83 2.8 26.28 65.63 1 "Calkiní" "04001"
"23" "002 Campeche" 5.02 15.9 2.09 0.92 1.16 37.34 1.79 9.71 38.19 2 "Campeche" "04002"
"24" "003 Carmen" 5.48 18.36 1.67 1.54 18.55 43.51 4.62 17.25 24.81 3 "Carmen" "04003"
"25" "004 Champotón" 12.21 31.31 7.78 2.42 10.76 51.71 4.1 52.31 56.19 4 "Champotón" "04004"
"26" "005 Hecelchakán" 11.74 26.04 17.93 2.32 9.55 54.19 2.26 32.95 61.89 5 "Hecelchakán" "04005"
"27" "006 Hopelchén" 11.94 27.06 15.22 4.48 5 60.33 4.17 80.69 77.27 6 "Hopelchén" "04006"
"28" "007 Palizada" 11.46 30.67 4.7 5.23 32.81 51.47 7.33 100 61.29 7 "Palizada" "04007"
"29" "008 Tenabo" 13.37 29.29 29.96 2.85 6.01 56.08 1.87 22.52 67.11 8 "Tenabo" "04008"
"30" "009 Escárcega" 12.02 31.25 7.79 3.95 2.67 56.42 7.32 45.6 66.38 9 "Escárcega" "04009"
"31" "010 Calakmul" 17.87 36.56 7.98 6.44 31.4 64.49 13.48 100 79.66 10 "Calakmul" "04010"
"32" "011 Candelaria" 15.78 36.6 13.15 13.93 15.06 54.42 16.1 76.18 75.37 11 "Candelaria" "04011"
"33" "001 Abasolo" 3.92 19.22 0.56 0.28 2.52 18.21 0 100 56.13 1 "Abasolo" "05001"
"34" "002 Acuña" 2.7 14.24 0.48 0.61 1 39.57 1.48 1.84 48.95 2 "Acuña" "05002"
"35" "003 Allende" 2.77 14.01 1.04 0.27 0.78 29.72 0.78 8.74 33.54 3 "Allende" "05003"
"36" "004 Arteaga" 6.37 25.72 3.87 1.66 10.16 40.46 3.26 62.54 49.94 4 "Arteaga" "05004"
"37" "005 Candela" 8.73 30.59 1 0.95 1.17 36.02 1.23 100 49.26 5 "Candela" "05005"
"38" "006 Castaños" 2.79 13.43 1.58 0.8 4.96 38.5 0.62 8.66 37.49 6 "Castaños" "05006"
"39" "007 Cuatro Ciénegas" 5.39 21.03 4.96 4.13 8.33 39.41 3.01 20.78 53.6 7 "Cuatro Ciénegas" "05007"
"40" "008 Escobedo" 4.28 23.99 1.42 1.14 12.71 33.37 0.76 100 46.32 8 "Escobedo" "05008"
"41" "009 Francisco I. Madero" 4.7 19.92 2.81 0.69 0.45 36.06 1.57 52.17 52.57 9 "Francisco I. Madero" "05009"
