"logSellingPr" "LivingArea" "OtherArea" "Age" "Bedrooms" "Bathrooms" "HalfBaths" "Latitude" "Longitude" "Easting" "Northing"
10.87616 1606 794 11 4 2 0 30.38562 -91.0184 690396 3363182
10.54534 979 452 2 2 1 1 30.48571 -91.077 684576 3374180
10.59663 1144 584 0 3 2 0 30.51082 -91.1082 681534 3376913
11.22524 2154 786 13 4 2 0 30.44838 -91.0242 689717 3370129
12.01309 2992 1522 3 5 3 1 30.44918 -91.0023 691819 3370255
10.96474 1174 410 0 3 2 0 30.37658 -91.1054 682052 3362037
11.23915 1600 550 7 3 2 0 30.43808 -91.0109 691015 3369010
10.71219 1020 529 13 3 1 1 30.45443 -91.015 690589 3370815
11.06664 1864 1114 19 3 2 0 30.54191 -91.1094 681361 3380357
11.13459 1526 706 10 3 2 0 30.43279 -91.0253 689642 3368399
11.99412 2408 613 0 4 2 1 30.39537 -90.9833 693750 3364323
11.16935 1545 599 6 3 2 0 30.44515 -91.0262 689531 3369768
11.37939 2205 635 12 4 2 0 30.39894 -91.1589 676870 3364431
11.63691 2583 634 12 3 2 1 30.40198 -91.1624 676528 3364762
11.08214 1705 572 15 3 2 0 30.48246 -91.0665 685590 3373837
11.4773 2998 754 23 6 3 1 30.45014 -91.0529 686958 3370277
11.19134 1900 850 10 3 2 0 30.55687 -91.069 685209 3382081
11.38509 2200 768 14 4 2 0 30.40684 -91.0484 687473 3365484
10.86857 1789 596 20 3 2 0 30.53231 -91.0708 685083 3379355
11.05089 1787 275 42 3 2 0 30.41498 -91.146 678081 3366229
11.23849 2121 256 17 3 2 0 30.4506 -91.0183 690280 3370385
11.06664 1535 478 14 3 2 0 30.55863 -91.037 688275 3382329
10.66896 1010 386 14 3 1 1 30.44857 -91.0149 690610 3370166
10.63104 1546 791 14 3 2 0 30.49693 -91.0392 688183 3375486
11.01673 1413 660 10 3 2 0 30.48507 -91.0488 687284 3374155
11.2474 2014 695 25 3 2 0 30.43714 -91.0754 684821 3368799
10.98529 1358 567 5 3 2 0 30.45157 -91.0123 690854 3370503
11.8706 3418 1016 10 4 2 1 30.45384 -91.0068 691378 3370764
11.19958 1836 556 13 4 2 0 30.40917 -91.04 688275 3365757
10.23996 1200 1042 20 2 1 0 30.49275 -91.1529 677277 3374838
12.25486 3052 1161 5 4 2 1 30.39071 -91.144 678317 3363542
11.48247 1963 819 8 3 2 0 30.39265 -91.1298 679678 3363779
10.91509 1709 570 20 3 2 0 30.44086 -91.0722 685122 3369216
11.65269 2477 994 11 3 2 0 30.44917 -90.9992 692117 3370259
11.69441 2642 1008 11 4 2 1 30.42183 -91.0282 689384 3367180
11.14908 2147 512 24 3 2 0 30.48074 -91.0811 684192 3373622
10.81978 1500 410 24 3 2 0 30.49396 -91.1424 678283 3374989
11.3266 1700 832 50 3 1 0 30.44154 -91.1236 680184 3369208
11.17745 1885 920 12 3 2 0 30.48331 -91.0605 686165 3373941
11.28114 1918 559 15 4 2 0 30.44605 -91.036 688589 3369851
11.19134 2066 521 18 4 2 0 30.45784 -91.0366 688508 3371157
11.25803 2064 750 5 3 2 1 30.45126 -91.0133 690758 3370467
11.28978 1762 865 16 3 2 0 30.40349 -91.0666 685730 3365083
10.79549 1328 646 15 3 2 0 30.3823 -91.0032 691863 3362840
10.81978 1376 655 17 3 2 0 30.46715 -91.0508 687127 3372166
11.72723 2830 934 11 3 2 1 30.38311 -91.1283 679839 3362724
11.12726 1485 694 0 3 2 0 30.43584 -91.0409 688138 3368711
11.31322 1593 698 4 3 2 0 30.38495 -91.0743 685025 3363015
11.23849 1624 700 8 3 2 0 30.43826 -91.0109 691014 3369030
11.14331 1533 512 10 3 2 0 30.42874 -91.0164 690505 3367965
